postal_code,label_en,label_dk
6300,Gråsten,Gråsten
6310,Broager,Broager
6320,Egernsund,Egernsund
6330,Padborg,Padborg
6340,Kruså,Kruså
6360,Tinglev,Tinglev
6372,Bylderup-Bov,Bylderup-Bov
6392,Bolderslev,Bolderslev
6400,Sønderborg,Sønderborg
6430,Nordborg,Nordborg
6440,Augustenborg,Augustenborg
6470,Sydals,Sydals
6500,Vojens,Vojens
6510,Gram,Gram
6520,Toftlund,Toftlund
6534,Agerskov,Agerskov
6535,Branderup Jylland,Branderup Jylland
6541,Bevtoft,Bevtoft
6560,Sommersted,Sommersted
6580,Vamdrup,Vamdrup
6600,Vejen,Vejen
6621,Gesten,Gesten
6622,Bække,Bække
6623,Vorbasse,Vorbasse
6630,Rødding,Rødding
6640,Lunderskov,Lunderskov
6650,Brørup,Brørup
6660,Lintrup,Lintrup
6670,Holsted,Holsted
6682,Hovborg,Hovborg
6683,Føvling,Føvling
6690,Gørding,Gørding
6700,Esbjerg,Esbjerg
6705,Esbjerg Ø,Esbjerg Ø
6710,Esbjerg V,Esbjerg V
6715,Esbjerg N,Esbjerg N
6720,Fanø,Fanø
6731,Tjæreborg,Tjæreborg
6740,Bramming,Bramming
6752,Glejbjerg,Glejbjerg
6753,Agerbæk,Agerbæk
6760,Ribe,Ribe
6771,Gredstedbro,Gredstedbro
6780,Skærbæk,Skærbæk
6792,Rømø,Rømø
6800,Varde,Varde
6818,Årre,Årre
6823,Ansager,Ansager
6830,Nørre Nebel,Nørre Nebel
6840,Oksbøl,Oksbøl
6851,Janderup Vestjylland,Janderup Vestjylland
6852,Billum,Billum
6853,Vejers Strand,Vejers Strand
6854,Henne,Henne
6855,Outrup,Outrup
6857,Blåvand,Blåvand
6862,Tistrup,Tistrup
6870,Ølgod,Ølgod
6880,Tarm,Tarm
6893,Hemmet,Hemmet
6900,Skjern,Skjern
6920,Videbæk,Videbæk
6933,Kibæk,Kibæk
6940,Lem St.,Lem St.
6950,Ringkøbing,Ringkøbing
6960,Hvide Sande,Hvide Sande
6971,Spjald,Spjald
6973,Ørnhøj,Ørnhøj
6980,Tim,Tim
6990,Ulfborg,Ulfborg
7000,Fredericia,Fredericia
7007,Fredericia Sydjyllands Postcenter,Fredericia Sydjyllands Postcenter
7080,Børkop,Børkop
7100,Vejle,Vejle
7120,Vejle Øst,Vejle Øst
7130,Juelsminde,Juelsminde
7140,Stouby,Stouby
7150,Barrit,Barrit
7160,Tørring,Tørring
7171,Uldum,Uldum
7173,Vonge,Vonge
7182,Bredsten,Bredsten
7183,Randbøl,Randbøl
7184,Vandel,Vandel
7190,Billund,Billund
7200,Grindsted,Grindsted
7250,Hejnsvig,Hejnsvig
7260,Sønder Omme,Sønder Omme
7270,Stakroge,Stakroge
7280,Sønder Felding,Sønder Felding
7300,Jelling,Jelling
7321,Gadbjerg,Gadbjerg
7323,Give,Give
7330,Brande,Brande
7361,Ejstrupholm,Ejstrupholm
7362,Hampen,Hampen
7400,Herning,Herning
7401,Herning Vestjyllands Postcenter,Herning Vestjyllands Postcenter
7430,Ikast,Ikast
7441,Bording,Bording
7442,Engesvang,Engesvang
7451,Sunds,Sunds
7470,Karup Jylland,Karup Jylland
7480,Vildbjerg,Vildbjerg
7490,Aulum,Aulum
7500,Holstebro,Holstebro
7540,Haderup,Haderup
7550,Sørvad,Sørvad
7560,Hjerm,Hjerm
7570,Vemb,Vemb
7600,Struer,Struer
7620,Lemvig,Lemvig
7650,Bøvlingbjerg,Bøvlingbjerg
7660,Bækmarksbro,Bækmarksbro
7673,Harboøre,Harboøre
7680,Thyborøn,Thyborøn
7700,Thisted,Thisted
7730,Hanstholm,Hanstholm
7741,Frøstrup,Frøstrup
7742,Vesløs,Vesløs
7752,Snedsted,Snedsted
7755,Bedsted Thy,Bedsted Thy
7760,Hurup Thy,Hurup Thy
7770,Vestervig,Vestervig
7790,Thyholm,Thyholm
7800,Skive,Skive
7830,Vinderup,Vinderup
7840,Højslev,Højslev
7850,Stoholm Jylland,Stoholm Jylland
7860,Spøttrup,Spøttrup
7870,Roslev,Roslev
7884,Fur,Fur
7900,Nykøbing Mors,Nykøbing Mors
7950,Erslev,Erslev
7960,Karby,Karby
7970,Redsted Mors,Redsted Mors
7980,Vils,Vils
7990,Øster Assels,Øster Assels
8000,Århus C,Århus C
8011,Århus C Østjyllands Postcenter,Århus C Østjyllands Postcenter
8200,Århus N,Århus N
8210,Århus V,Århus V
8220,Brabrand,Brabrand
8230,Åbyhøj,Åbyhøj
8240,Risskov,Risskov
8245,Risskov Ø Østjyllands Postcenter,Risskov Ø Østjyllands Postcenter
8250,Egå,Egå
8260,Viby Jylland,Viby Jylland
8270,Højbjerg,Højbjerg
8300,Odder,Odder
8305,Samsø,Samsø
8310,Tranbjerg Jylland,Tranbjerg Jylland
8320,Mårslet,Mårslet
8330,Beder,Beder
8340,Malling,Malling
8350,Hundslund,Hundslund
8355,Solbjerg,Solbjerg
8361,Hasselager,Hasselager
8362,Hørning,Hørning
8370,Hadsten,Hadsten
8380,Trige,Trige
8381,Tilst,Tilst
8382,Hinnerup,Hinnerup
8400,Ebeltoft,Ebeltoft
8410,Rønde,Rønde
8420,Knebel,Knebel
8444,Balle,Balle
8450,Hammel,Hammel
8462,Harlev Jylland,Harlev Jylland
8464,Galten,Galten
8471,Sabro,Sabro
8472,Sporup,Sporup
8500,Grenaa,Grenaa
8520,Lystrup,Lystrup
8530,Hjortshøj,Hjortshøj
8541,Skødstrup,Skødstrup
8543,Hornslet,Hornslet
8544,Mørke,Mørke
8550,Ryomgård,Ryomgård
8560,Kolind,Kolind
8570,Trustrup,Trustrup
8581,Nimtofte,Nimtofte
8585,Glesborg,Glesborg
8586,Ørum Djurs,Ørum Djurs
8592,Anholt,Anholt
8600,Silkeborg,Silkeborg
8620,Kjellerup,Kjellerup
8632,Lemming,Lemming
8641,Sorring,Sorring
8643,Ans By,Ans By
8653,Them,Them
8654,Bryrup,Bryrup
8660,Skanderborg,Skanderborg
8670,Låsby,Låsby
8680,Ry,Ry
8700,Horsens,Horsens
8721,Daugård,Daugård
8722,Hedensted,Hedensted
8723,Løsning,Løsning
8732,Hovedgård,Hovedgård
8740,Brædstrup,Brædstrup
8751,Gedved,Gedved
8752,Østbirk,Østbirk
8762,Flemming,Flemming
8763,Rask Mølle,Rask Mølle
8765,Klovborg,Klovborg
8766,Nørre Snede,Nørre Snede
8781,Stenderup,Stenderup
8783,Hornsyld,Hornsyld
8800,Viborg,Viborg
8830,Tjele,Tjele
8831,Løgstrup,Løgstrup
8832,Skals,Skals
8840,Rødkærsbro,Rødkærsbro
8850,Bjerringbro,Bjerringbro
8860,Ulstrup,Ulstrup
8870,Langå,Langå
8881,Thorsø,Thorsø
8882,Fårvang,Fårvang
8883,Gjern,Gjern
8900,Randers,Randers
8920,Randers NV,Randers NV
8930,Randers NØ,Randers NØ
8940,Randers SV,Randers SV
8950,Ørsted,Ørsted
8960,Randers SØ,Randers SØ
8961,Allingåbro,Allingåbro
8963,Auning,Auning
8970,Havndal,Havndal
8981,Spentrup,Spentrup
8983,Gjerlev Jylland,Gjerlev Jylland
8990,Fårup,Fårup
9000,Aalborg,Aalborg
9020,Aalborg Nordjyllands Postcenter,Aalborg Nordjyllands Postcenter
9200,Aalborg SV,Aalborg SV
9210,Aalborg SØ,Aalborg SØ
9220,Aalborg Øst,Aalborg Øst
9230,Svenstrup Jylland,Svenstrup Jylland
9240,Nibe,Nibe
9260,Gistrup,Gistrup
9270,Klarup,Klarup
9280,Storvorde,Storvorde
9293,Kongerslev,Kongerslev
9300,Sæby,Sæby
9310,Vodskov,Vodskov
9320,Hjallerup,Hjallerup
9330,Dronninglund,Dronninglund
9340,Asaa,Asaa
9352,Dybvad,Dybvad
9362,Gandrup,Gandrup
9370,Hals,Hals
9380,Vestbjerg,Vestbjerg
9381,Sulsted,Sulsted
9382,Tylstrup,Tylstrup
9400,Nørresundby,Nørresundby
9430,Vadum,Vadum
9440,Aabybro,Aabybro
9460,Brovst,Brovst
9480,Løkken,Løkken
9490,Pandrup,Pandrup
9492,Blokhus,Blokhus
9493,Saltum,Saltum
9500,Hobro,Hobro
9510,Arden,Arden
9520,Skørping,Skørping
9530,Støvring,Støvring
9541,Suldrup,Suldrup
9550,Mariager,Mariager
9560,Hadsund,Hadsund
9574,Bælum,Bælum
9575,Terndrup,Terndrup
9600,Aars,Aars
9610,Nørager,Nørager
9620,Aalestrup,Aalestrup
9631,Gedsted,Gedsted
9632,Møldrup,Møldrup
9640,Farsø,Farsø
9670,Løgstør,Løgstør
9681,Ranum,Ranum
9690,Fjerritslev,Fjerritslev
9700,Brønderslev,Brønderslev
9740,Jerslev Jylland,Jerslev Jylland
9750,Østervrå,Østervrå
9760,Vrå,Vrå
9800,Hjørring,Hjørring
9830,Tårs,Tårs
9850,Hirtshals,Hirtshals
9870,Sindal,Sindal
9881,Bindslev,Bindslev
9900,Frederikshavn,Frederikshavn
9940,Læsø,Læsø
9970,Strandby,Strandby
9981,Jerup,Jerup
9982,Ålbæk,Ålbæk
9990,Skagen,Skagen
